rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category
4148,145205,L'Aéropostale,2,5,70,70,70,2013,6.98537,5.69061,164,12,"Area Control / Area Influence, Pick-up and Deliver, Route/Network Building",278,"Aviation / Flight, Exploration"
4149,39635,Prolix,1,5,30,30,30,2010,6.46813,5.69051,267,9,none,584,Word Game
4150,35293,Im Reich der Wüstensöhne,3,4,60,60,60,2008,6.51897,5.69027,261,8,Tile Placement,441,"Arabian, Exploration"
4151,85800,Octopus' Garden,2,4,45,45,45,2011,6.71474,5.69025,212,10,"Set Collection, Tile Placement",446,Animals
4152,185381,Exceed: Red Horizon – Gabrek & Ulrik vs. Alice & Zoey,2,2,30,10,30,2016,7.93247,5.69018,97,0,Simultaneous Action Selection,330,"Card Game, Fighting"
4153,12318,Typo,2,6,30,30,30,2004,6.18564,5.69006,425,8,"Pattern Building, Simultaneous Action Selection",697,"Card Game, Word Game"
4154,4226,Victory at Midway,1,2,180,180,180,1992,7.15364,5.69001,151,12,Hex-and-Counter,525,"Nautical, Wargame, World War II"
4155,195296,Scuttle!,1,5,10,5,10,2016,6.65557,5.68996,264,6,"Hand Management, Partnerships, Take That",854,"Card Game, Children's Game, Pirates"
4156,220155,Groves,1,4,60,60,60,2018,7.65129,5.68986,124,13,"Chit-Pull System, Deck / Pool Building, Tile Placement, Worker Placement",361,Fantasy
4157,2396,Ur: 1830 BC,3,6,180,180,180,2001,6.64754,5.68984,224,14,Tile Placement,597,"Ancient, Civilization"
4158,158973,Albion's Legacy,1,6,90,90,90,2015,7.02412,5.68972,226,14,"Co-operative Play, Dice Rolling, Modular Board, Tile Placement, Variable Player Powers",731,"Adventure, Fantasy, Medieval, Novel-based"
4159,214296,Tenkatoitsu,1,2,0,0,0,2016,8.5925,5.68963,80,0,"Chit-Pull System, Hex-and-Counter",285,"Renaissance, Wargame"
4160,178209,Adventure Time Fluxx,2,6,30,5,30,2015,6.48387,5.6894,372,8,"Hand Management, Set Collection",988,"Card Game, Movies / TV / Radio theme"
4161,102690,Villagers & Villains,2,5,30,30,30,2011,6.69891,5.68937,230,9,"Card Drafting, Dice Rolling, Set Collection, Variable Player Powers",503,"Card Game, City Building, Fantasy, Fighting"
4162,176,Give Me the Brain!,3,8,30,30,30,1996,5.85401,5.68936,1988,10,"Action Point Allowance System, Auction/Bidding, Hand Management",3234,"Card Game, Zombies"
4163,213661,Food Truck Champion,2,5,75,45,75,2017,6.90842,5.6892,183,8,"Card Drafting, Hand Management, Pattern Building, Set Collection",832,"Card Game, Economic, Industry / Manufacturing"
4164,152241,Ultimate Werewolf,5,30,60,60,60,2014,6.69212,5.68919,231,13,"Partnerships, Role Playing, Storytelling, Variable Player Powers, Voting",725,"Bluffing, Card Game, Deduction, Fantasy, Horror, Murder/Mystery, Negotiation, Party Game"
4165,1472,Five Crowns,2,7,30,30,30,1996,5.88619,5.68914,1674,8,"Hand Management, Set Collection",3714,Card Game
4166,197455,Dice Heist,2,5,20,20,20,2016,6.42384,5.68913,294,14,"Dice Rolling, Set Collection",608,Dice
4167,280,Neue Spiele im alten Rom,2,7,0,0,0,1994,6.82299,5.6891,187,10,none,423,"Abstract Strategy, Game System"
4168,224125,Tesla vs. Edison: Duel,2,2,30,15,30,2017,7.05454,5.6891,174,14,"Area Control / Area Influence, Card Drafting, Commodity Speculation, Deck / Pool Building, Hand Management, Stock Holding, Variable Player Powers",712,"Card Game, Economic, Industry / Manufacturing, Territory Building"
4169,205308,Jolly & Roger,2,2,20,20,20,2016,6.8232,5.68908,194,8,"Area Control / Area Influence, Card Drafting",373,"Card Game, Nautical, Pirates"
4170,128204,Ars Victor,2,2,60,60,60,2013,7.3834,5.68891,145,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter, Modular Board",430,"Print & Play, Science Fiction, Wargame"
4171,108377,Space Station,2,6,60,60,60,2011,6.65081,5.68888,247,12,"Hand Management, Pattern Building, Worker Placement",394,"Card Game, Science Fiction"
4172,174802,VENOM Assault,1,5,120,60,120,2016,7.55818,5.68874,121,13,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management",284,"Card Game, Fighting, Science Fiction"
4173,1072,Wat'n dat!?,3,8,60,60,60,1996,6.71763,5.68869,215,10,none,414,"Action / Dexterity, Party Game"
4174,1509,Dogfight,2,4,45,45,45,1962,6.30143,5.68861,385,10,"Hand Management, Roll / Spin and Move",765,"Aviation / Flight, Wargame, World War I"
4175,191387,Star Trek: The Dice Game,1,1,90,45,90,2016,7.73086,5.68854,128,12,"Dice Rolling, Worker Placement",313,"Dice, Print & Play, Science Fiction"
4176,191543,Micro Robots,2,99,20,20,20,2016,6.30664,5.68848,371,8,"Dice Rolling, Grid Movement, Modular Board",697,"Abstract Strategy, Puzzle, Real-time"
4177,199182,Commands & Colors Tricorne: The American Revolution,2,2,90,60,90,2017,8.62635,5.68845,75,0,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",278,"American Revolutionary War, Wargame"
4178,67693,Offerings,3,5,60,60,60,2010,6.45345,5.68826,264,10,Auction/Bidding,337,"Ancient, Animals, Mythology, Religious"
4179,7138,The Killing Ground,2,4,300,300,300,2002,7.95741,5.68821,108,12,"Chit-Pull System, Hex-and-Counter",364,"Wargame, World War II"
4180,3339,Diceland: Deep White Sea,2,5,20,20,20,2002,6.46167,5.68788,277,10,"Dice Rolling, Variable Player Powers",538,"Action / Dexterity, Collectible Components, Dice, Fantasy, Fighting, Science Fiction"
4181,170202,Floating Market,2,5,45,30,45,2015,6.28856,5.68777,354,13,"Betting/Wagering, Dice Rolling, Worker Placement",847,Dice
4182,169141,Fallen Land: A Post Apocalyptic Board Game,2,5,300,120,300,2017,8.63333,5.68775,147,14,"Area Movement, Dice Rolling, Role Playing, Storytelling, Trading, Variable Player Powers",259,"Adventure, Card Game, Dice, Economic, Political, Science Fiction"
4183,138614,Relic Expedition,2,4,60,30,60,2014,6.74103,5.68748,232,10,"Action Point Allowance System, Hand Management, Modular Board, Set Collection, Take That",483,"Adventure, Exploration"
4184,2252,King of the Tabletop,2,4,180,180,180,1983,6.87423,5.68744,197,12,"Area Control / Area Influence, Secret Unit Deployment",375,"Bluffing, Exploration, Fantasy, Print & Play, Territory Building"
4185,226518,Exit: The Game – The Sunken Treasure,1,4,90,45,90,2017,7.36639,5.68734,122,10,Co-operative Play,363,Deduction
4186,83197,Zen Master,3,5,30,30,30,2010,6.29994,5.68723,334,8,"Hand Management, Set Collection, Trick-taking",586,Card Game
4187,181404,Taverna,2,5,90,60,90,2015,6.3541,5.68721,354,12,"Area Control / Area Influence, Card Drafting, Worker Placement",748,"Fantasy, Medieval"
